STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,PATENT_AUTHORITIES,Patent authorities,FREQ,Frequency of observation,MEASURE,Measure2,UNIT_MEASURE,Unit of measure,DATE_TYPE,Reference date type,REF_AREA,Reference area,PARTNER_AREA,Counterpart area,AGENT_ROLE,Agent role,COOPERATION_TYPE,Cooperation type,WIPO,World Intellectual Property Organization domains,OECD_TECHNOLOGY_PATENT,Selected OECD technology domains,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,DECIMALS,Decimals3,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,9P50_2,Triadic patent family,A,Annual,PF,Patent families,PATN_FM,Sets of patents,PRIORITY,Priority date,ZWE,Zimbabwe,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2020,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,US50,United States Patent and Trademark Office,A,Annual,AP,Patent applications,PATN,Patents,PRIORITY,Priority date,SVK,Slovak Republic,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2020,,52.48360062,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,PRIORITY,Priority date,W,World,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2020,,272912,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,PRIORITY,Priority date,HKG,Hong Kong (China),_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2020,,703.8015137,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,6F0,European Patent Office,A,Annual,AP,Patent applications,PATN,Patents,PRIORITY,Priority date,CRI,Costa Rica,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2021,,10.55930042,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,6F0,European Patent Office,A,Annual,AP,Patent applications,PATN,Patents,PRIORITY,Priority date,CRI,Costa Rica,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2020,,10.79880047,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,6F0,European Patent Office,A,Annual,AP,Patent applications,PATN,Patents,PRIORITY,Priority date,NLD,Netherlands,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2021,,4449.279297,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,6F0,European Patent Office,A,Annual,AP,Patent applications,PATN,Patents,PRIORITY,Priority date,NLD,Netherlands,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2020,,4275.742676,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,6F0,European Patent Office,A,Annual,AP,Patent applications,PATN,Patents,PRIORITY,Priority date,TUR,Türkiye,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2021,,396.7304077,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,6F0,European Patent Office,A,Annual,AP,Patent applications,PATN,Patents,PRIORITY,Priority date,TUR,Türkiye,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2020,,729.4351196,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,PRIORITY,Priority date,CHE,Switzerland,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2020,,3062.221436,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS(1.0),Patents by technology,I,9P50_2,Triadic patent family,A,Annual,PF,Patent families,PATN_FM,Sets of patents,PRIORITY,Priority date,BEL,Belgium,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,_Z,Not applicable,_T,Total patents,2020,,186.5021057,,A,Normal value,1,One,0,Units
